name,data_type,bit_length
ENG_COMSEC_HDR_SCID,uint,8
ENG_COMSEC_HDR_FILL1,uint,1
ENG_COMSEC_HDR_FLASH_BLOCK,uint,15
ENG_COMSEC_HDR_FILL2,uint,2
ENG_COMSEC_HDR_TIME_QUALITY,uint,2
ENG_COMSEC_HDR_USEC,uint,20
ENG_COMSEC_HDR_SEC,uint,32
TPK_1_HASH,uint,256
TPK_1_IV,uint,96
TPK_1_STATE,uint,8
TPK_1_LAST_USED_SEC,uint,32
TPK_1_EXECUTE_CNT,uint,32
TPK_2_HASH,uint,256
TPK_2_IV,uint,96
TPK_2_STATE,uint,8
TPK_2_LAST_USED_SEC,uint,32
TPK_2_EXECUTE_CNT,uint,32
TPK_3_HASH,uint,256
TPK_3_IV,uint,96
TPK_3_STATE,uint,8
TPK_3_LAST_USED_SEC,uint,32
TPK_3_EXECUTE_CNT,uint,32
TPK_4_HASH,uint,256
TPK_4_IV,uint,96
TPK_4_STATE,uint,8
TPK_4_LAST_USED_SEC,uint,32
TPK_4_EXECUTE_CNT,uint,32
TPK_5_HASH,uint,256
TPK_5_IV,uint,96
TPK_5_STATE,uint,8
TPK_5_LAST_USED_SEC,uint,32
TPK_5_EXECUTE_CNT,uint,32
TPK_6_HASH,uint,256
TPK_6_IV,uint,96
TPK_6_STATE,uint,8
TPK_6_LAST_USED_SEC,uint,32
TPK_6_EXECUTE_CNT,uint,32
TPK_7_HASH,uint,256
TPK_7_IV,uint,96
TPK_7_STATE,uint,8
TPK_7_LAST_USED_SEC,uint,32
TPK_7_EXECUTE_CNT,uint,32
TPK_8_HASH,uint,256
TPK_8_IV,uint,96
TPK_8_STATE,uint,8
TPK_8_LAST_USED_SEC,uint,32
TPK_8_EXECUTE_CNT,uint,32
TPK_9_HASH,uint,256
TPK_9_IV,uint,96
TPK_9_STATE,uint,8
TPK_9_LAST_USED_SEC,uint,32
TPK_9_EXECUTE_CNT,uint,32
TPK_10_HASH,uint,256
TPK_10_IV,uint,96
TPK_10_STATE,uint,8
TPK_10_LAST_USED_SEC,uint,32
TPK_10_EXECUTE_CNT,uint,32
TPK_11_HASH,uint,256
TPK_11_IV,uint,96
TPK_11_STATE,uint,8
TPK_11_LAST_USED_SEC,uint,32
TPK_11_EXECUTE_CNT,uint,32
TPK_12_HASH,uint,256
TPK_12_IV,uint,96
TPK_12_STATE,uint,8
TPK_12_LAST_USED_SEC,uint,32
TPK_12_EXECUTE_CNT,uint,32
TPK_13_HASH,uint,256
TPK_13_IV,uint,96
TPK_13_STATE,uint,8
TPK_13_LAST_USED_SEC,uint,32
TPK_13_EXECUTE_CNT,uint,32
TPK_14_HASH,uint,256
TPK_14_IV,uint,96
TPK_14_STATE,uint,8
TPK_14_LAST_USED_SEC,uint,32
TPK_14_EXECUTE_CNT,uint,32
TPK_15_HASH,uint,256
TPK_15_IV,uint,96
TPK_15_STATE,uint,8
TPK_15_LAST_USED_SEC,uint,32
TPK_15_EXECUTE_CNT,uint,32
TPK_16_HASH,uint,256
TPK_16_IV,uint,96
TPK_16_STATE,uint,8
TPK_16_LAST_USED_SEC,uint,32
TPK_16_EXECUTE_CNT,uint,32
ENG_COMSEC_PADDING,uint,16
ENG_COMSEC_CKSUM,uint,16
